symbol,direction,side,qty,notional,weight,type,tif,status,expected_fill_session
AFL,BULL,sell,82,9314.92,0.00931,market,OPG,queued,2026-05-04
SJM,BULL,sell,96,9314.92,0.00931,market,OPG,queued,2026-05-04
POR,BEAR,buy,187,9314.92,0.00931,market,OPG,queued,2026-05-04
IJK,BEAR,buy,85,9314.92,0.00931,market,OPG,queued,2026-05-04
IYG,BULL,sell,106,9314.92,0.00931,market,OPG,queued,2026-05-04
MBB,BEAR,buy,98,9314.92,0.00931,market,OPG,queued,2026-05-04
IEV,BEAR,buy,130,9314.92,0.00931,market,OPG,queued,2026-05-04
GIB,BEAR,buy,139,9314.92,0.00931,market,OPG,queued,2026-05-04
GWW,BEAR,buy,8,9314.92,0.00931,market,OPG,queued,2026-05-04
ECL,BULL,sell,35,9314.92,0.00931,market,OPG,queued,2026-05-04
ROL,BULL,sell,170,9314.92,0.00931,market,OPG,queued,2026-05-04
SCHF,BEAR,buy,350,9314.92,0.00931,market,OPG,queued,2026-05-04
WIT,BEAR,buy,4588,9314.92,0.00931,market,OPG,queued,2026-05-04
VEU,BEAR,buy,115,9314.92,0.00931,market,OPG,queued,2026-05-04
QQQJ,BEAR,buy,230,9314.92,0.00931,market,OPG,queued,2026-05-04
SPAB,BULL,sell,365,9314.92,0.00931,market,OPG,queued,2026-05-04
SPTI,BEAR,buy,327,9314.92,0.00931,market,OPG,queued,2026-05-04
EG,BEAR,buy,26,9314.92,0.00931,market,OPG,queued,2026-05-04
GCOR,BEAR,buy,226,9314.92,0.00931,market,OPG,queued,2026-05-04
FRDM,BEAR,buy,147,9314.92,0.00931,market,OPG,queued,2026-05-04
FMBH,BEAR,buy,214,9314.92,0.00931,market,OPG,queued,2026-05-04
SEVN,BEAR,buy,1118,9314.92,0.00931,market,OPG,queued,2026-05-04
QAI,BEAR,buy,261,9314.92,0.00931,market,OPG,queued,2026-05-04
AVDE,BEAR,buy,104,9314.92,0.00931,market,OPG,queued,2026-05-04
AIVC,BEAR,buy,101,9314.92,0.00931,market,OPG,queued,2026-05-04
IDGT,BEAR,buy,77,9314.92,0.00931,market,OPG,queued,2026-05-04
IDLV,BEAR,buy,262,9314.92,0.00931,market,OPG,queued,2026-05-04
QYLG,BEAR,buy,323,9314.92,0.00931,market,OPG,queued,2026-05-04
FEMS,BEAR,buy,195,9314.92,0.00931,market,OPG,queued,2026-05-04
CRBN,BEAR,buy,38,9314.92,0.00931,market,OPG,queued,2026-05-04
SPEU,BEAR,buy,171,9314.92,0.00931,market,OPG,queued,2026-05-04
SR,BEAR,buy,103,9314.92,0.00931,market,OPG,queued,2026-05-04
HEI_A,BEAR,buy,44,9314.92,0.00931,market,OPG,queued,2026-05-04
USIG,BULL,sell,182,9314.92,0.00931,market,OPG,queued,2026-05-04
VXUS,BULL,sell,112,9314.92,0.00931,market,OPG,queued,2026-05-04
VPU,BULL,sell,46,9314.92,0.00931,market,OPG,queued,2026-05-04
COR,BEAR,buy,30,9314.92,0.00931,market,OPG,queued,2026-05-04
OLP,BULL,sell,370,8475.34,0.00848,market,OPG,queued,2026-05-04
KMDA,BEAR,buy,1000,8213.44,0.00821,market,OPG,queued,2026-05-04
MSFT,BULL,sell,19,8196.36,0.0082,market,OPG,queued,2026-05-04
GPK,BEAR,buy,779,7557.08,0.00756,market,OPG,queued,2026-05-04
FAST,BULL,sell,154,6957.18,0.00696,market,OPG,queued,2026-05-04
DFAT,BEAR,buy,99,6642.37,0.00664,market,OPG,queued,2026-05-04
CIGI,BEAR,buy,59,6194.44,0.00619,market,OPG,queued,2026-05-04
AOS,BULL,sell,99,6006.31,0.00601,market,OPG,queued,2026-05-04
YORW,BEAR,buy,187,5465.88,0.00547,market,OPG,queued,2026-05-04
AAT,BEAR,buy,239,4977.37,0.00498,market,OPG,queued,2026-05-04
XNTK,BEAR,buy,14,4624.39,0.00462,market,OPG,queued,2026-05-04
SHEL,BULL,sell,51,4570.54,0.00457,market,OPG,queued,2026-05-04
WTS,BEAR,buy,12,3780.93,0.00378,market,OPG,queued,2026-05-04
XAR,BULL,sell,14,3610.42,0.00361,market,OPG,queued,2026-05-04
PRN,BEAR,buy,10,2444.41,0.00244,market,OPG,queued,2026-05-04
FORR,BEAR,buy,93,593.19,0.00059,market,OPG,queued,2026-05-04
COP,BULL,sell,1,0.0,0.0,market,OPG,queued,2026-05-04
FSS,BULL,sell,1,0.0,0.0,market,OPG,queued,2026-05-04
G,BULL,sell,1,0.0,0.0,market,OPG,queued,2026-05-04
FICO,BULL,sell,1,0.0,0.0,market,OPG,queued,2026-05-04
HPP,BEAR,buy,1,0.0,0.0,market,OPG,queued,2026-05-04
IDXX,BEAR,buy,1,0.0,0.0,market,OPG,queued,2026-05-04
HALO,BULL,sell,1,0.0,0.0,market,OPG,queued,2026-05-04
AMD,BULL,sell,1,0.0,0.0,market,OPG,queued,2026-05-04
CERS,BEAR,buy,1,0.0,0.0,market,OPG,queued,2026-05-04
